shmem               kern base           diff
ffffff91ec867000    ffffff8001600000    00000011eb267000
ffffff91f3ec2000    ffffff8006800000    00000011ed6c2000
ffffff91f48f3000    ffffff8007200000    00000011ed6f3000
ffffff91f6a2c000    ffffff8009400000    00000011ed62c000
ffffff91f828a000    ffffff800ac00000    00000011ed68a000
ffffff91fc02a000    ffffff8010c00000    00000011eb42a000
ffffff91fe160000    ffffff8010c00000    00000011ed560000
ffffff91fe6b3000    ffffff8001200000    00000011fd4b3000
ffffff91ffc8a000    ffffff8013600000    00000011ec68a000
ffffff9209150000    ffffff801e000000    00000011eb150000
ffffff92103a8000    ffffff8012a00000    00000011fd9a8000
ffffff9211be0000    ffffff8014600000    00000011fd5e0000
ffffff9213141000    ffffff8015a00000    00000011fd741000
ffffff9215c04000    ffffff8018600000    00000011fd604000
ffffff921a2ce000    ffffff801cc00000    00000011fd6ce000
ffffff921bf03000    ffffff801e800000    00000011fd703000
